file_path,target_percent,interval_step,rsi_oversold,rsi_overbought,leverage,risk_per_trade,rsi_window,mean_return,std_dev_return,min_return,max_return,sharpe_ratio,t_stat,p_value
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,8,0.3,14,8527.986435477675,5221.905682331791,2676.1315530142556,19942.96610277798,1.633117668963639,4.899547892978408,0.0008481760862016687
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,8,0.5,14,9907.37780830576,7162.331621527017,714.4801875419532,23251.126136419116,1.3832615315560461,4.149926682024805,0.0024846541366299363
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,10,0.3,14,7674.552201383379,4424.687681053958,3288.385469880319,15580.774473921665,1.7344845002834879,5.20368350053429,0.0005612875545889618
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,10,0.5,14,6038.521713797441,5462.634724164757,1049.8620418226162,16441.387576697845,1.105422935764891,3.316455105083023,0.00899094779599633
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,15,0.3,14,5743.046759231599,5589.37951902091,518.4255204986406,20883.10090974936,1.0274927189480965,3.082660230143162,0.01308362656180878
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,70,15,0.5,14,2915.929189788523,3221.988393029671,60.828227378545655,9335.847908167925,0.9050092160781011,2.715343501876072,0.02378846636436818
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,8,0.3,14,11469.14523292433,4648.496959659398,6216.995147924494,20462.613593208607,2.467280355877589,7.4020599936160485,4.094462686696993e-05
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,8,0.5,14,3531.029389041968,3282.588514797402,583.2152002690682,11226.457580654047,1.075684440228994,3.227363343330115,0.010366344342767767
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,10,0.3,14,11519.034359962712,4707.517468015086,3380.5520255150404,21364.249196358945,2.446944581348455,7.341049925243754,4.368765007574711e-05
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,10,0.5,14,9386.337019482457,7697.122727680823,2000.6584715822923,24267.729994715894,1.2194604856340392,3.6585136721211904,0.005247624318348928
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,15,0.3,14,13136.16774231401,9763.656018361835,1594.8602132736778,36383.63126966708,1.3454148443584786,4.036348764191911,0.002944719385142076
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,75,15,0.5,14,7661.4448088068575,12241.08408898749,782.9336655894839,43603.63958165199,0.6258795996425972,1.8777219350912457,0.09314429921558284
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,8,0.3,14,11806.166867406839,4457.212430658823,7477.17721821001,22253.71187568347,2.648778143531688,7.946562751946918,2.3351404193031855e-05
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,8,0.5,14,9350.043909658156,4602.0878971439015,4346.914680888127,17977.911206186334,2.031696073310742,6.0953093536416265,0.00018026784480769533
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,10,0.3,14,14836.265925536074,4722.3545939438945,9869.5085630195,25867.519232043163,3.1417094227872253,9.425343770342188,5.8429506692491584e-06
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,10,0.5,14,15441.232494722339,17592.539114548363,1111.2818274800911,66105.82052901671,0.877714830939499,2.633202339884292,0.027215388012035557
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,15,0.3,14,15219.968768431916,14866.960864856597,1937.3639482663907,51065.462342783474,1.0237444563676614,3.071301821342613,0.01332593029046966
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,20,80,15,0.5,14,10313.820110881288,20881.31908023809,358.4601336427959,72230.95955468873,0.4939256984316764,1.4818258315249464,0.17252870735059925
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,8,0.3,14,9851.736281623087,5552.975032626676,4896.765229759525,24152.337043553216,1.7741366067268278,5.322593087125084,0.0004793421590168263
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,8,0.5,14,9588.763394807846,5987.009524663767,1717.6736283572654,19980.51131991366,1.6015948121188859,4.804954417173204,0.0009670206242882634
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,10,0.3,14,12660.552387223279,6100.865688433442,3797.2641985650766,20037.97304730566,2.075205886146005,6.225784467022181,0.00015403015405738871
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,10,0.5,14,8178.256634684379,8352.588012361206,450.555560725741,23856.710791313315,0.9791284596559977,2.93750721866201,0.016553687824180475
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,15,0.3,14,7240.328220627125,10366.171704603792,907.986159999622,38010.396061821244,0.698457292330164,2.0954700498547547,0.06559868332156434
/Users/simonlavalle/Downloads/b-data/ADAUSDT_1min_data.csv,0.03,2,25,70,15,0.5,14,9907.650797783155,20623.535900462288,38.09745767054902,70397.67364195563,0.4804050501136941,1.4412644957478342,0.1833827617979691
